// Measure 1
Bb4,2
Rest,0.6640625
Bb4,0.3359375
Bb4,0.33203125
Bb4,0.33203125
Bb4,0.3359375
// Measure 2
Bb4,0.6640625
Ab4,0.3359375
Bb4,1
Rest,0.6640625
Bb4,0.3359375
Bb4,0.33203125
Bb4,0.33203125
Bb4,0.3359375
// Measure 3
Bb4,0.6640625
Ab4,0.3359375
Bb4,1
Rest,0.6640625
Bb4,0.3359375
Bb4,0.33203125
Bb4,0.33203125
Bb4,0.3359375
// Measure 4
Bb4,0.5
F4,0.25
F4,0.25
F4,0.5
F4,0.25
F4,0.25
F4,0.5
F4,0.25
F4,0.25
F4,0.5
F4,0.5
// Measure 5
Bb4,1
F4,1.75
Bb4,0.25
Bb4,0.25
C5,0.25
D5,0.25
Eb5,0.25
// Measure 6
F5,2
Rest,0.5
F5,0.5
F5,0.33203125
Gb5,0.33203125
Ab5,0.3359375
// Measure 7
Bb5,2
Rest,0.33203125
Bb5,0.33203125
Bb5,0.3359375
Bb5,0.33203125
Ab5,0.33203125
Gb5,0.3359375
// Measure 8
Ab5,0.75
Gb5,0.25
F5,2
F5,1
// Measure 9
Eb5,0.5
Eb5,0.25
F5,0.25
Gb5,2
F5,0.5
Eb5,0.5
// Measure 10
Db5,0.5
Db5,0.25
Eb5,0.25
F5,2
Eb5,0.5
Db5,0.5
// Measure 11
C5,0.5
C5,0.25
D5,0.25
E5,2
G5,1
// Measure 12
F5,0.5
F4,0.25
F4,0.25
F4,0.5
F4,0.25
F4,0.25
F4,0.5
F4,0.25
F4,0.25
F4,0.5
F4,0.5
// Measure 13
Bb4,1
F4,1.75
Bb4,0.25
Bb4,0.25
C5,0.25
D5,0.25
Eb5,0.25
// Measure 14
F5,2
Rest,0.5
F5,0.5
F5,0.33203125
Gb5,0.33203125
Ab5,0.3359375
// Measure 15
Bb5,3
Db6,1
// Measure 16
C6,1
A5,2
F5,1
// Measure 17
Gb5,3
Bb5,1
// Measure 18
A5,1
F5,2
F5,1
// Measure 19
Gb5,3
Bb5,1
// Measure 20
A5,1
F5,2
D5,1
// Measure 21
Eb5,3
Gb5,1
// Measure 22
F5,1
Db5,2
Bb4,1
// Measure 23
C5,0.5
C5,0.25
D5,0.25
E5,2
G5,1
// Measure 24
F5,0.5
F4,0.25
F4,0.25
F4,0.5
F4,0.25
F4,0.25
F4,0.5
F4,0.25
F4,0.25
F4,0.5
F4,0.5
// Measure 5 (Repeat)
Bb4,1
F4,1.75
Bb4,0.25
Bb4,0.25
C5,0.25
D5,0.25
Eb5,0.25
// Measure 6 (Repeat)
F5,2
Rest,0.5
F5,0.5
F5,0.33203125
Gb5,0.33203125
Ab5,0.3359375
// Measure 7 (Repeat)
Bb5,2
Rest,0.33203125
Bb5,0.33203125
Bb5,0.3359375
Bb5,0.33203125
Ab5,0.33203125
Gb5,0.3359375
// Measure 8 (Repeat)
Ab5,0.75
Gb5,0.25
F5,2
F5,1
// Measure 9 (Repeat)
Eb5,0.5
Eb5,0.25
F5,0.25
Gb5,2
F5,0.5
Eb5,0.5
// Measure 10 (Repeat)
Db5,0.5
Db5,0.25
Eb5,0.25
F5,2
Eb5,0.5
Db5,0.5
// Measure 11 (Repeat)
C5,0.5
C5,0.25
D5,0.25
E5,2
G5,1
// Measure 12 (Repeat)
F5,0.5
F4,0.25
F4,0.25
F4,0.5
F4,0.25
F4,0.25
F4,0.5
F4,0.25
F4,0.25
F4,0.5
F4,0.5
// Measure 13 (Repeat)
Bb4,1
F4,1.75
Bb4,0.25
Bb4,0.25
C5,0.25
D5,0.25
Eb5,0.25
// Measure 14 (Repeat)
F5,2
Rest,0.5
F5,0.5
F5,0.33203125
Gb5,0.33203125
Ab5,0.3359375
// Measure 15 (Repeat)
Bb5,3
Db6,1
// Measure 16 (Repeat)
C6,1
A5,2
F5,1
// Measure 17 (Repeat)
Gb5,3
Bb5,1
// Measure 18 (Repeat)
A5,1
F5,2
F5,1
// Measure 19 (Repeat)
Gb5,3
Bb5,1
// Measure 20 (Repeat)
A5,1
F5,2
D5,1
// Measure 21 (Repeat)
Eb5,3
Gb5,1
// Measure 22 (Repeat)
F5,1
Db5,2
Bb4,1
// Measure 23 (Repeat)
C5,0.5
C5,0.25
D5,0.25
E5,2
G5,1
// Measure 24 (Repeat)
F5,0.5
F4,0.25
F4,0.25
F4,0.5
F4,0.25
F4,0.25
F4,0.5
F4,0.25
F4,0.25
F4,0.5
F4,0.5
